UUID,REC_NR,NAME,AIRPORT,TYPE,STATUS,GEO_LON,GEO_LAT,TOP_AMSL,HEIGHT_AGL,RADIUS,WEF,MARKING,LIGHTING,GROUP,STYLE,SMALL,point
00298b49-9036-40a9-9500-a33b935cfad5,1,245NW20073,LSZC,CATENARY,A,8.35250927656561,46.987742929945796,466.8,50.0,,1950-01-01,NONE,NONE,NO,ms_cable,NO,POINT (8.352509276565611 46.9877429299458)
00298b49-9036-40a9-9500-a33b935cfad5,2,245NW20073,LSZC,CATENARY,A,8.353805172795862,46.98665310969146,640.8,50.0,,1950-01-01,NONE,NONE,NO,ms_cable,NO,POINT (8.353805172795862 46.98665310969146)
0130bbbf-10a4-43f0-b50d-826b9e4b419b,1,235SZ30085,,CATENARY,A,8.621996343234875,47.028999033547926,448.8,55.851000000000006,,2009-08-31,NONE,NONE,NO,ms_cable,NO,POINT (8.621996343234875 47.02899903354793)
0130bbbf-10a4-43f0-b50d-826b9e4b419b,2,235SZ30085,,CATENARY,A,8.614052999479455,47.02674169995778,467.1,55.851000000000006,,2009-08-31,NONE,NONE,NO,ms_cable,NO,POINT (8.614052999479455 47.02674169995778)
0130bbbf-10a4-43f0-b50d-826b9e4b419b,3,235SZ30085,,CATENARY,A,8.614665446788504,47.02466633154137,633.4,55.851000000000006,,2009-08-31,NONE,NONE,NO,ms_cable,NO,POINT (8.614665446788504 47.02466633154137)
0130bbbf-10a4-43f0-b50d-826b9e4b419b,4,235SZ30085,,CATENARY,A,8.622363304027846,47.02773579952584,610.9,55.851000000000006,,2009-08-31,NONE,NONE,NO,ms_cable,NO,POINT (8.622363304027846 47.02773579952584)
0130bbbf-10a4-43f0-b50d-826b9e4b419b,5,235SZ30085,,CATENARY,A,8.621996343234875,47.028999033547926,448.8,55.851000000000006,,2009-08-31,NONE,NONE,NO,ms_cable,NO,POINT (8.621996343234875 47.02899903354793)
023a2691-8fbd-4b74-98f3-024600389285,1,235HL00018,LSME,TRANSMISSION_LINE,A,8.317529927548444,47.082296599622794,452.9,79.86,,2024-03-27,NONE,NONE,NO,ms_line,NO,POINT (8.317529927548444 47.08229659962279)
023a2691-8fbd-4b74-98f3-024600389285,2,235HL00018,LSME,TRANSMISSION_LINE,A,8.316564647429763,47.08186337935497,461.9,79.86,,2024-03-27,NONE,NONE,NO,ms_line,NO,POINT (8.316564647429763 47.08186337935497)
023a2691-8fbd-4b74-98f3-024600389285,3,235HL00018,LSME,TRANSMISSION_LINE,A,8.317193963697589,47.08036675421546,465.6,79.86,,2024-03-27,NONE,NONE,NO,ms_line,NO,POINT (8.317193963697589 47.08036675421546)
